Espc_pelicu_extranj	V3	YEAR_	MONTH_	DATE_
8742	60	1990	1	JAN 1990
6066	20	1990	2	FEB 1990
6322	0	1990	3	MAR 1990
5876	80	1990	4	APR 1990
3533	80	1990	5	MAY 1990
3122	10	1990	6	JUN 1990
5773	60	1990	7	JUL 1990
7085	0	1990	8	AUG 1990
6394	40	1990	9	SEP 1990
7788	40	1990	10	OCT 1990
5378	70	1990	11	NOV 1990
3741	20	1990	12	DEC 1990
8874	20	1991	1	JAN 1991
5312	40	1991	2	FEB 1991
8424	80	1991	3	MAR 1991
5808	80	1991	4	APR 1991
3303	20	1991	5	MAY 1991
4226	80	1991	6	JUN 1991
6672	0	1991	7	JUL 1991
6806	10	1991	8	AUG 1991
7314	80	1991	9	SEP 1991
5491	50	1991	10	OCT 1991
4176	90	1991	11	NOV 1991
3873	60	1991	12	DEC 1991
7892	50	1992	1	JAN 1992
6260	20	1992	2	FEB 1992
7652	20	1992	3	MAR 1992
5689	70	1992	4	APR 1992
4012	90	1992	5	MAY 1992
4528	90	1992	6	JUN 1992
5437	10	1992	7	JUL 1992
9533	80	1992	8	AUG 1992
5557	90	1992	9	SEP 1992
6782	50	1992	10	OCT 1992
5355	10	1992	11	NOV 1992
6572	0	1992	12	DEC 1992
12204	90	1993	1	JAN 1993
5057	90	1993	2	FEB 1993
7319	50	1993	3	MAR 1993
6450	80	1993	4	APR 1993
3971	30	1993	5	MAY 1993
5391	70	1993	6	JUN 1993
5510	90	1993	7	JUL 1993
6507	30	1993	8	AUG 1993
6515	60	1993	9	SEP 1993
8547	30	1993	10	OCT 1993
6968	20	1993	11	NOV 1993
5142	80	1993	12	DEC 1993
7991	50	1994	1	JAN 1994
6550	50	1994	2	FEB 1994
7644	90	1994	3	MAR 1994
6794	80	1994	4	APR 1994
4790	90	1994	5	MAY 1994
3809	0	1994	6	JUN 1994
6695	10	1994	7	JUL 1994
7505	70	1994	8	AUG 1994
7219	10	1994	9	SEP 1994
6963	90	1994	10	OCT 1994
7022	50	1994	11	NOV 1994
8696	40	1994	12	DEC 1994
8645	0	1995	1	JAN 1995
6296	0	1995	2	FEB 1995
6645	0	1995	3	MAR 1995
7921	0	1995	4	APR 1995
4243	0	1995	5	MAY 1995
3870	0	1995	6	JUN 1995
7170	0	1995	7	JUL 1995
7779	0	1995	8	AUG 1995
8009	0	1995	9	SEP 1995
7707	0	1995	10	OCT 1995
7473	0	1995	11	NOV 1995
8559	0	1995	12	DEC 1995
8927	0	1996	1	JAN 1996
8264	0	1996	2	FEB 1996
9489	0	1996	3	MAR 1996
7755	0	1996	4	APR 1996
5717	0	1996	5	MAY 1996
4406	0	1996	6	JUN 1996
7038	0	1996	7	JUL 1996
8159	0	1996	8	AUG 1996
10006	0	1996	9	SEP 1996
7767	0	1996	10	OCT 1996
7078	0	1996	11	NOV 1996
9601	0	1996	12	DEC 1996
7606	0	1997	1	JAN 1997
6513	0	1997	2	FEB 1997
9016	0	1997	3	MAR 1997
7629	0	1997	4	APR 1997
5971	0	1997	5	MAY 1997
4968	0	1997	6	JUN 1997
7396	0	1997	7	JUL 1997
9154	0	1997	8	AUG 1997
7348	0	1997	9	SEP 1997
7334	0	1997	10	OCT 1997
8757	0	1997	11	NOV 1997
10594	0	1997	12	DEC 1997
11454	0	1998	1	JAN 1998
9032	0	1998	2	FEB 1998
10090	0	1998	3	MAR 1998
9777	0	1998	4	APR 1998
6621	0	1998	5	MAY 1998
4044	0	1998	6	JUN 1998
6310	0	1998	7	JUL 1998
