accidentes	YEAR	MONTH	DATE	V5
67199	1979	1	JAN	1979
68449	1979	2	FEB	1979
71964	1979	3	MAR	1979
58392	1979	4	APR	1979
75446	1979	5	MAY	1979
69841	1979	6	JUN	1979
70182	1979	7	JUL	1979
54640	1979	8	AUG	1979
63076	1979	9	SEP	1979
73042	1979	10	OCT	1979
71317	1979	11	NOV	1979
55594	1979	12	DEC	1979
62874	1980	1	JAN	1980
67028	1980	2	FEB	1980
62505	1980	3	MAR	1980
56897	1980	4	APR	1980
60861	1980	5	MAY	1980
57316	1980	6	JUN	1980
61880	1980	7	JUL	1980
41999	1980	8	AUG	1980
57508	1980	9	SEP	1980
68994	1980	10	OCT	1980
58469	1980	11	NOV	1980
50610	1980	12	DEC	1980
53127	1981	1	JAN	1981
56957	1981	2	FEB	1981
59071	1981	3	MAR	1981
51694	1981	4	APR	1981
55482	1981	5	MAY	1981
56365	1981	6	JUN	1981
60217	1981	7	JUL	1981
41710	1981	8	AUG	1981
54756	1981	9	SEP	1981
61382	1981	10	OCT	1981
59871	1981	11	NOV	1981
51461	1981	12	DEC	1981
46767	1982	1	JAN	1982
55076	1982	2	FEB	1982
60692	1982	3	MAR	1982
50749	1982	4	APR	1982
57739	1982	5	MAY	1982
54333	1982	6	JUN	1982
59071	1982	7	JUL	1982
40835	1982	8	AUG	1982
52986	1982	9	SEP	1982
53939	1982	10	OCT	1982
56809	1982	11	NOV	1982
51237	1982	12	DEC	1982
48885	1983	1	JAN	1983
51871	1983	2	FEB	1983
57438	1983	3	MAR	1983
49016	1983	4	APR	1983
55909	1983	5	MAY	1983
52927	1983	6	JUN	1983
52337	1983	7	JUL	1983
39537	1983	8	AUG	1983
51258	1983	9	SEP	1983
53765	1983	10	OCT	1983
53137	1983	11	NOV	1983
47262	1983	12	DEC	1983
48293	1984	1	JAN	1984
52087	1984	2	FEB	1984
50709	1984	3	MAR	1984
41863	1984	4	APR	1984
49614	1984	5	MAY	1984
46613	1984	6	JUN	1984
49887	1984	7	JUL	1984
38910	1984	8	AUG	1984
43571	1984	9	SEP	1984
53145	1984	10	OCT	1984
50591	1984	11	NOV	1984
40788	1984	12	DEC	1984
49320	1985	1	JAN	1985
48746	1985	2	FEB	1985
48352	1985	3	MAR	1985
44287	1985	4	APR	1985
50275	1985	5	MAY	1985
43461	1985	6	JUN	1985
52324	1985	7	JUL	1985
37809	1985	8	AUG	1985
45164	1985	9	SEP	1985
59468	1985	10	OCT	1985
49856	1985	11	NOV	1985
43828	1985	12	DEC	1985
46131	1986	1	JAN	1986
47301	1986	2	FEB	1986
44215	1986	3	MAR	1986
51017	1986	4	APR	1986
49651	1986	5	MAY	1986
51806	1986	6	JUN	1986
57731	1986	7	JUL	1986
37570	1986	8	AUG	1986
49398	1986	9	SEP	1986
61434	1986	10	OCT	1986
54049	1986	11	NOV	1986
47502	1986	12	DEC	1986
46356	1987	1	JAN	1987
53989	1987	2	FEB	1987
56913	1987	3	MAR	1987
