indice_bolsa_Franfurt	YEAR_	MONTH_	DATE_
44,403	1988	1	JAN 1988
51,236	1988	2	FEB 1988
50,459	1988	3	MAR 1988
50,046	1988	4	APR 1988
51,417	1988	5	MAY 1988
54,129	1988	6	JUN 1988
56,085	1988	7	JUL 1988
55,356	1988	8	AUG 1988
59,454	1988	9	SEP 1988
61,737	1988	10	OCT 1988
60,56	1988	11	NOV 1988
63,022	1988	12	DEC 1988
62,303	1989	1	JAN 1989
61,161	1989	2	FEB 1989
62,775	1989	3	MAR 1989
65,064	1989	4	APR 1989
66,791	1989	5	MAY 1989
69,944	1989	6	JUN 1989
73,762	1989	7	JUL 1989
75,835	1989	8	AUG 1989
74,721	1989	9	SEP 1989
69,898	1989	10	OCT 1989
74,866	1989	11	NOV 1989
84,972	1989	12	DEC 1989
86,511	1990	1	JAN 1990
85,9	1990	2	FEB 1990
93,429	1990	3	MAR 1990
86,058	1990	4	APR 1990
87,556	1990	5	MAY 1990
89,222	1990	6	JUN 1990
91,083	1990	7	JUL 1990
77,338	1990	8	AUG 1990
63,355	1990	9	SEP 1990
68,05	1990	10	OCT 1990
68,402	1990	11	NOV 1990
66,361	1990	12	DEC 1990
67,398	1991	1	JAN 1991
73,189	1991	2	FEB 1991
72,273	1991	3	MAR 1991
76,212	1991	4	APR 1991
80,879	1991	5	MAY 1991
76,99	1991	6	JUN 1991
76,996	1991	7	JUL 1991
73,588	1991	8	AUG 1991
76,271	1991	9	SEP 1991
75,086	1991	10	OCT 1991
74,351	1991	11	NOV 1991
74,892	1991	12	DEC 1991
80,09	1992	1	JAN 1992
82,825	1992	2	FEB 1992
81,531	1992	3	MAR 1992
82,299	1992	4	APR 1992
85,582	1992	5	MAY 1992
83,181	1992	6	JUN 1992
76,669	1992	7	JUL 1992
73,149	1992	8	AUG 1992
69,595	1992	9	SEP 1992
70,827	1992	10	OCT 1992
73,296	1992	11	NOV 1992
73,329	1992	12	DEC 1992
74,601	1993	1	JAN 1993
79,941	1993	2	FEB 1993
79,934	1993	3	MAR 1993
77,228	1993	4	APR 1993
77,449	1993	5	MAY 1993
80,571	1993	6	JUN 1993
85,583	1993	7	JUL 1993
92,306	1993	8	AUG 1993
90,921	1993	9	SEP 1993
98,196	1993	10	OCT 1993
97,664	1993	11	NOV 1993
107,579	1993	12	DEC 1993
103,344	1994	1	JAN 1994
99,268	1994	2	FEB 1994
101,239	1994	3	MAR 1994
106,596	1994	4	APR 1994
100,982	1994	5	MAY 1994
96,124	1994	6	JUN 1994
101,881	1994	7	JUL 1994
105,024	1994	8	AUG 1994
95,479	1994	9	SEP 1994
98,321	1994	10	OCT 1994
97,212	1994	11	NOV 1994
99,98	1994	12	DEC 1994
95,931	1995	1	JAN 1995
99,771	1995	2	FEB 1995
91,248	1995	3	MAR 1995
95,678	1995	4	APR 1995
99,296	1995	5	MAY 1995
98,905	1995	6	JUN 1995
105,303	1995	7	JUL 1995
106,232	1995	8	AUG 1995
103,799	1995	9	SEP 1995
102,891	1995	10	OCT 1995
106,447	1995	11	NOV 1995
106,971	1995	12	DEC 1995
117,235	1996	1	JAN 1996
117,397	1996	2	FEB 1996
117,981	1996	3	MAR 1996
118,901	1996	4	APR 1996
120,683	1996	5	MAY 1996
121,566	1996	6	JUN 1996
117,387	1996	7	JUL 1996
120,732	1996	8	AUG 1996
125,859	1996	9	SEP 1996
126,21	1996	10	OCT 1996
135,051	1996	11	NOV 1996
137,1	1996	12	DEC 1996
145,453	1997	1	JAN 1997
154,663	1997	2	FEB 1997
155,741	1997	3	MAR 1997
165,69	1997	4	APR 1997
169,09	1997	5	MAY 1997
178,78	1997	6	JUN 1997
209,09	1997	7	JUL 1997
186,037	1997	8	AUG 1997
197,195	1997	9	SEP 1997
178,152	1997	10	OCT 1997
188,518	1997	11	NOV 1997
200,489	1997	12	DEC 1997
210,846	1998	1	JAN 1998
222,775	1998	2	FEB 1998
241,92	1998	3	MAR 1998
248,753	1998	4	APR 1998
263,739	1998	5	MAY 1998
277,258	1998	6	JUN 1998
278,177	1998	7	JUL 1998
228,347	1998	8	AUG 1998
210,295	1998	9	SEP 1998
222,638	1998	10	OCT 1998
238,545	1998	11	NOV 1998
237,616	1998	12	DEC 1998
245,861	1999	1	JAN 1999
233,119	1999	2	FEB 1999
233,251	1999	3	MAR 1999
255,962	1999	4	APR 1999
240,618	1999	5	MAY 1999
255,269	1999	6	JUN 1999
242,139	1999	7	JUL 1999
250,155	1999	8	AUG 1999
244,415	1999	9	SEP 1999
262,24	1999	10	OCT 1999
279,831	1999	11	NOV 1999
330,239	1999	12	DEC 1999
324,423	2000	1	JAN 2000
362,817	2000	2	FEB 2000
360,673	2000	3	MAR 2000
351,907	2000	4	APR 2000
337,431	2000	5	MAY 2000
327,395	2000	6	JUN 2000
341,261	2000	7	JUL 2000
342,499	2000	8	AUG 2000
322,645	2000	9	SEP 2000
335,901	2000	10	OCT 2000
302,436	2000	11	NOV 2000
305,345	2000	12	DEC 2000
