presos	YEAR_	MONTH_	DATE_
31711	1990	1	JAN 1990
32420	1990	2	FEB 1990
32786	1990	3	MAR 1990
33048	1990	4	APR 1990
33095	1990	5	MAY 1990
33409	1990	6	JUN 1990
32811	1990	7	JUL 1990
33074	1990	8	AUG 1990
33338	1990	9	SEP 1990
33815	1990	10	OCT 1990
34375	1990	11	NOV 1990
33037	1990	12	DEC 1990
34150	1991	1	JAN 1991
35147	1991	2	FEB 1991
35590	1991	3	MAR 1991
36036	1991	4	APR 1991
36511	1991	5	MAY 1991
36980	1991	6	JUN 1991
36794	1991	7	JUL 1991
31176	1991	8	AUG 1991
31606	1991	9	SEP 1991
32541	1991	10	OCT 1991
33174	1991	11	NOV 1991
32399	1991	12	DEC 1991
33308	1992	1	JAN 1992
34248	1992	2	FEB 1992
34607	1992	3	MAR 1992
34654	1992	4	APR 1992
35194	1992	5	MAY 1992
35255	1992	6	JUN 1992
34858	1992	7	JUL 1992
35246	1992	8	AUG 1992
35614	1992	9	SEP 1992
36351	1992	10	OCT 1992
36565	1992	11	NOV 1992
35918	1992	12	DEC 1992
36967	1993	1	JAN 1993
37791	1993	2	FEB 1993
38428	1993	3	MAR 1993
38865	1993	4	APR 1993
39531	1993	5	MAY 1993
39695	1993	6	JUN 1993
39251	1993	7	JUL 1993
39409	1993	8	AUG 1993
39784	1993	9	SEP 1993
40294	1993	10	OCT 1993
40608	1993	11	NOV 1993
39640	1993	12	DEC 1993
40602	1994	1	JAN 1994
41385	1994	2	FEB 1994
41953	1994	3	MAR 1994
42044	1994	4	APR 1994
42243	1994	5	MAY 1994
42404	1994	6	JUN 1994
41400	1994	7	JUL 1994
41169	1994	8	AUG 1994
40853	1994	9	SEP 1994
41303	1994	10	OCT 1994
41491	1994	11	NOV 1994
40497	1994	12	DEC 1994
41244	1995	1	JAN 1995
41285	1995	2	FEB 1995
41148	1995	3	MAR 1995
40810	1995	4	APR 1995
41428	1995	5	MAY 1995
41499	1995	6	JUN 1995
40484	1995	7	JUL 1995
40157	1995	8	AUG 1995
39918	1995	9	SEP 1995
40223	1995	10	OCT 1995
40000	1995	11	NOV 1995
38612	1995	12	DEC 1995
39202	1996	1	JAN 1996
39483	1996	2	FEB 1996
39556	1996	3	MAR 1996
39182	1996	4	APR 1996
38600	1996	5	MAY 1996
38119	1996	6	JUN 1996
37273	1996	7	JUL 1996
36963	1996	8	AUG 1996
36807	1996	9	SEP 1996
37047	1996	10	OCT 1996
37146	1996	11	NOV 1996
35898	1996	12	DEC 1996
36590	1997	1	JAN 1997
37251	1997	2	FEB 1997
37394	1997	3	MAR 1997
37688	1997	4	APR 1997
38014	1997	5	MAY 1997
37841	1997	6	JUN 1997
37373	1997	7	JUL 1997
37186	1997	8	AUG 1997
37204	1997	9	SEP 1997
37761	1997	10	OCT 1997
37578	1997	11	NOV 1997
36792	1997	12	DEC 1997
37523	1998	1	JAN 1998
38202	1998	2	FEB 1998
38520	1998	3	MAR 1998
38353	1998	4	APR 1998
38702	1998	5	MAY 1998
39028	1998	6	JUN 1998
38795	1998	7	JUL 1998
38725	1998	8	AUG 1998
38853	1998	9	SEP 1998
39168	1998	10	OCT 1998
39145	1998	11	NOV 1998
44370	1998	12	DEC 1998
44686	1999	1	JAN 1999
39119	1999	2	FEB 1999
39337	1999	3	MAR 1999
39703	1999	4	APR 1999
39568	1999	5	MAY 1999
39432	1999	6	JUN 1999
39196	1999	7	JUL 1999
45004	1999	8	AUG 1999
44967	1999	9	SEP 1999
44980	1999	10	OCT 1999
45050	1999	11	NOV 1999
44197	1999	12	DEC 1999
44842	2000	1	JAN 2000
45347	2000	2	FEB 2000
45516	2000	3	MAR 2000
45310	2000	4	APR 2000
45288	2000	5	MAY 2000
45323	2000	6	JUN 2000
44858	2000	7	JUL 2000
45039	2000	8	AUG 2000
45280	2000	9	SEP 2000
45545	2000	10	OCT 2000
45693	2000	11	NOV 2000
45104	2000	12	DEC 2000
44904	2001	1	JAN 2001
45412	2001	2	FEB 2001
45970	2001	3	MAR 2001
46226	2001	4	APR 2001
46543	2001	5	MAY 2001
46883	2001	6	JUN 2001
46637	2001	7	JUL 2001
46957	2001	8	AUG 2001
47404	2001	9	SEP 2001
