Viajeros_Urbano_transporte	YEAR_	MONTH_	DATE_
216721	1996	1	JAN 1996
213787	1996	2	FEB 1996
221582	1996	3	MAR 1996
204038	1996	4	APR 1996
220739	1996	5	MAY 1996
201742	1996	6	JUN 1996
184124	1996	7	JUL 1996
122716	1996	8	AUG 1996
187160	1996	9	SEP 1996
239493	1996	10	OCT 1996
220994	1996	11	NOV 1996
212588	1996	12	DEC 1996
213814	1997	1	JAN 1997
205525	1997	2	FEB 1997
204122	1997	3	MAR 1997
225237	1997	4	APR 1997
214713	1997	5	MAY 1997
206539	1997	6	JUN 1997
188324	1997	7	JUL 1997
123995	1997	8	AUG 1997
191222	1997	9	SEP 1997
242655	1997	10	OCT 1997
222967	1997	11	NOV 1997
220724	1997	12	DEC 1997
212487	1998	1	JAN 1998
208099	1998	2	FEB 1998
229959	1998	3	MAR 1998
204947	1998	4	APR 1998
219822	1998	5	MAY 1998
214154	1998	6	JUN 1998
192035	1998	7	JUL 1998
128324	1998	8	AUG 1998
195988	1998	9	SEP 1998
232530	1998	10	OCT 1998
222432	1998	11	NOV 1998
218865	1998	12	DEC 1998
209048	1999	1	JAN 1999
210266	1999	2	FEB 1999
233543	1999	3	MAR 1999
218287	1999	4	APR 1999
231147	1999	5	MAY 1999
218918	1999	6	JUN 1999
193830	1999	7	JUL 1999
135804	1999	8	AUG 1999
202488	1999	9	SEP 1999
230454	1999	10	OCT 1999
233609	1999	11	NOV 1999
222210	1999	12	DEC 1999
218709	2000	1	JAN 2000
226256	2000	2	FEB 2000
250549	2000	3	MAR 2000
209053	2000	4	APR 2000
239984	2000	5	MAY 2000
230456	2000	6	JUN 2000
198342	2000	7	JUL 2000
146322	2000	8	AUG 2000
207169	2000	9	SEP 2000
245808	2000	10	OCT 2000
243837	2000	11	NOV 2000
223638	2000	12	DEC 2000
236352	2001	1	JAN 2001
223784	2001	2	FEB 2001
252861	2001	3	MAR 2001
213577	2001	4	APR 2001
244540	2001	5	MAY 2001
232771	2001	6	JUN 2001
207285	2001	7	JUL 2001
146643	2001	8	AUG 2001
207503	2001	9	SEP 2001
254389	2001	10	OCT 2001
238835	2001	11	NOV 2001
222650	2001	12	DEC 2001
229792	2002	1	JAN 2002
221088	2002	2	FEB 2002
221036	2002	3	MAR 2002
243257	2002	4	APR 2002
239902	2002	5	MAY 2002
221089	2002	6	JUN 2002
213476	2002	7	JUL 2002
147146	2002	8	AUG 2002
213352	2002	9	SEP 2002
263613	2002	10	OCT 2002
240458	2002	11	NOV 2002
226742	2002	12	DEC 2002
234302	2003	1	JAN 2003
226221	2003	2	FEB 2003
247877	2003	3	MAR 2003
230561	2003	4	APR 2003
247646	2003	5	MAY 2003
233258	2003	6	JUN 2003
218099	2003	7	JUL 2003
150455	2003	8	AUG 2003
219170	2003	9	SEP 2003
265576	2003	10	OCT 2003
245138	2003	11	NOV 2003
236796	2003	12	DEC 2003
236742	2004	1	JAN 2004
234509	2004	2	FEB 2004
258422	2004	3	MAR 2004
229312	2004	4	APR 2004
253741	2004	5	MAY 2004
243542	2004	6	JUN 2004
219612	2004	7	JUL 2004
156611	2004	8	AUG 2004
230403	2004	9	SEP 2004
252577	2004	10	OCT 2004
253439	2004	11	NOV 2004
237891	2004	12	DEC 2004
253585	2005	1	JAN 2005
256510	2005	2	FEB 2005
263107	2005	3	MAR 2005
274988	2005	4	APR 2005
280574	2005	5	MAY 2005
273912	2005	6	JUN 2005
227050	2005	7	JUL 2005
186639	2005	8	AUG 2005
250863	2005	9	SEP 2005
277749	2005	10	OCT 2005
275198	2005	11	NOV 2005
256782	2005	12	DEC 2005
262049	2006	1	JAN 2006
255869	2006	2	FEB 2006
289439	2006	3	MAR 2006
248130	2006	4	APR 2006
286704	2006	5	MAY 2006
274301	2006	6	JUN 2006
238110	2006	7	JUL 2006
187816	2006	8	AUG 2006
251202	2006	9	SEP 2006
286010	2006	10	OCT 2006
279883	2006	11	NOV 2006
256134	2006	12	DEC 2006
271756	2007	1	JAN 2007
262065	2007	2	FEB 2007
297407	2007	3	MAR 2007
255779	2007	4	APR 2007
291282	2007	5	MAY 2007
275494	2007	6	JUN 2007
246819	2007	7	JUL 2007
189390	2007	8	AUG 2007
247943	2007	9	SEP 2007
295080	2007	10	OCT 2007
279657	2007	11	NOV 2007
254235	2007	12	DEC 2007
278115	2008	1	JAN 2008
272990	2008	2	FEB 2008
254512	2008	3	MAR 2008
284728	2008	4	APR 2008
274710	2008	5	MAY 2008
266160	2008	6	JUN 2008
251174	2008	7	JUL 2008
183879	2008	8	AUG 2008
253098	2008	9	SEP 2008
296324	2008	10	OCT 2008
274195	2008	11	NOV 2008
260117	2008	12	DEC 2008
261964	2009	1	JAN 2009
258340	2009	2	FEB 2009
275750	2009	3	MAR 2009
252273	2009	4	APR 2009
266265	2009	5	MAY 2009
259529	2009	6	JUN 2009
240114	2009	7	JUL 2009
175664	2009	8	AUG 2009
